Name,Case,Stakeholder,Node,Net Effects,Description,Value,Unit ID
Regulatory Environment-Illuminate Education-User,Illuminate Education,User,Context,Regulatory Environment,"Regime protects students
Regime does not explicity protect teachers or administrators
Users rights of action are murky",Neither Weak Nor Strong,1
Threat Environment-Illuminate Education-User,Illuminate Education,User,Context,Threat Environment,"Implementation users are familiar with threats to schools and students
Targets have high value, and are particularly vulnerable (students)",Risky,2
Operational Environment-Illuminate Education-User,Illuminate Education,User,Context,Operational Environment,"High power distance: Hierarchy of users includes students, teachers, school staff/administrators, school district administrators",Challenging,3
Regulatory Environment-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Context,Regulatory Environment,"Producer operates in a highly regulated environment, but regime applications are murky. Faces complex legal challenges because it is largely their clients that are responsible for regulatory compliance. ",Neither Lenient Nor Strict,4
Threat Environment-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Context,Threat Environment,"Producer should be familiar with education-related threats and vulnerabilities

Variable threat surface could depend on cloud vs. on-prem implementation structure",Somewhat Risky,5
Regulatory Environment-Illuminate Education-Regulator,Illuminate Education,Regulator,Context,Regulatory Environment,"Regime emerges from local, state, and national laws. State and national agencies have authority to act, and offer different protections.",Somewhat Strict,7
Operational Environment-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Context,Operational Environment,"Broad and diverse user-base, resulting in disparate requirements for cybersecurity (e.g. by district, school, state gov, etc)",Neither Challenging Nor Simple,6
Threat Environment-Illuminate Education-Regulator,Illuminate Education,Regulator,Context,Threat Environment,"National agencies share familiarity, but state have different levels of expertise to handle cybersecurity",Neither Unfamiliar Nor Familiar,8
Operational Environment-Illuminate Education-Regulator,Illuminate Education,Regulator,Context,Operational Environment,"Enforcement methods vary by agency/regime, ability to protect students from cybersecurity harms is complex (DepEd vs.FTC)",Somewhat Weak,9
Deploying-Illuminate Education-User,Illuminate Education,User,Operating,Deploying,"Customer-users, including administrators, and IT staff, deployed the software to meet the needs of the primary end-users, teachers and students. ",Active,10
Securing-Illuminate Education-User,Illuminate Education,User,Operating,Securing,"IT users responsible for deploying the software would have had to secure it based on industry best practices, as well as requirements set forth based on their regime. They would not have to follow security practices to update the software because it is cloud-based. End-users would observe basic cyber hygiene to protect themselves.",Active,11
Influencing-Illuminate Education-User,Illuminate Education,User,Operating,Influencing,"User-advocacy groups attempt to influence regulators and software producers to improve protections, such as through litigation and corporate reform. They also try to influence users through education and training.",Neither Passive Nor Active,12
Complying-Illuminate Education-User,Illuminate Education,User,Operating,Complying,"Guidance, rules, and best practices would mean that end-user permissions would be managed based on available software capabilities to meet regime requirements.",Neither Passive Nor Active,13
Implementing-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Operating,Implementing,"Illuminate Education, a private/private equity company, started in 2009. To do business and grow, it acquired 12 other companies in 2016-2019, including IOeducation which built the PupilPath software.",Active,14
Securing-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Operating,Securing,"Illuminate Education would have had to secure their disparate software solutions individually, as they were the result of serial acquisitions and did not appear to be integrated with each other.",Neither Passive Nor Active,15
Influencing-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Operating,Influencing,Illuminate Education participated in industry regulatory bodies. ,Somewhat Passive,16
Complying-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Operating,Complying,"Illuminate Education would have had to implement technical solutions to comply with the regimes in the various jurisdictions in which they operated. For example, the ""strict data agreement"" with the NYC DOE. 

They also voluntarily signed onto the Student Privacy Pledge, an industry self-regulatory body.",Neither Passive Nor Active,17
Rulemaking-Illuminate Education-Regulator,Illuminate Education,Regulator,Operating,Rulemaking,"There were multiple regimes that regulated the software producer's business operations, established through case and statutory law, primarily designed to protect data of students and minors under 18.",Somewhat Active,18
Enforcement-Illuminate Education-Regulator,Illuminate Education,Regulator,Operating,Enforcement,"The regulations provision the various responsible agencies with a variety of enforcement mechanisms should a conflict occur, and they were actively being used.",Somewhat Passive,19
Investigation-Illuminate Education-Regulator,Illuminate Education,Regulator,Operating,Investigation,Regulators also rely on investigation authority to determine enforcement approaches.,Somewhat Active,20
Influencing-Illuminate Education-Regulator,Illuminate Education,Regulator,Operating,Influencing,"Regulators, especially self-regulatory bodies like the Student Privacy Pledge, advocated for best practices by software producers. They also signaled their interests and shaped the regime through case and statutory law.",Somewhat Passive,21
Capacity-Illuminate Education-User,Illuminate Education,User,Precursors,Capacity,"Users had software that they used daily to meet their needs, supported at various levels by IT teams, budget, and other users. Software may have been seen to be on a spectrum of effectiveness depending on the user and specific implementation.",Neither Low Nor High,22
Business Change-Illuminate Education-User,Illuminate Education,User,Precursors,Business Change,"Changing operations may have induced changes to the software deployment, and even could have impacted the software production ",High,23
Compliance-Illuminate Education-User,Illuminate Education,User,Precursors,Compliance,"Contracts, logs, training materials, audits, and other records were created based on national, state, local, and internal requirements to support the implementation.",Neither Low Nor High,24
Unaddressed Failures & Weaknesses-Illuminate Education-User,Illuminate Education,User,Precursors,Unaddressed Failures & Weaknesses,Poor practices by users may have led to vulnerabilities,No Data Available,25
Capacity-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Precursors,Capacity,"Illuminate Education engineered and delivered software to its clients, although much of the knowledge and artifacts originated in companies it had acquired, and there had been layoffs prior to the incident.",Somewhat Low,26
Business Change-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Precursors,Business Change,"Producer acquired new companies, including staff and software",High,27
Compliance-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Precursors,Compliance,"Producer agreed to comply with regimes that govern their clients, and the individual contracts between them. Not all had requirements on encrypting data at rest, but it was still a best practice.",Neither Lenient Nor Strict,28
Unaddressed Failures & Weaknesses-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Precursors,Unaddressed Failures & Weaknesses,"Complaints allege that Illuminate Ed did not follow data security best practices, encrypting data at rest",Risky,29
Regimes-Illuminate Education-Regulator,Illuminate Education,Regulator,Precursors,Regimes,"Emergent regime is weak in enforcing student data privacy regulations, especially against third-parties",Lenient,30
Capacity-Illuminate Education-Regulator,Illuminate Education,Regulator,Precursors,Capacity,Capacity was extremely limited at the outset of this case to handle data privacy issues for students and kids as a result of software-related incidents,Weak,31
Posturing-Illuminate Education-User,Illuminate Education,User,RRR,Posturing,"Affected users spoke out publicly about the breach. They connected with legal teams for lawsuits, and advocates for support, who also made statements.",Active,32
Compensating-Illuminate Education-User,Illuminate Education,User,RRR,Compensating,"Parents of affected students sued in court for compensation, and had to find legal grounds to sue. Staff users referred to agreements for options.",Active,33
Correcting-Illuminate Education-User,Illuminate Education,User,RRR,Correcting,"Contracts were canceled, and new software had to be found. End-users had to identify, deploy, and learn new software to correct for the loss. ",Somewhat Active,34
Complying-Illuminate Education-User,Illuminate Education,User,RRR,Complying,"Staff users followed the terms of hteir agreements, as well as the regime incl. national and local rules.",Somewhat Passive,35
Posturing-Illuminate Education-Software Producer,Illuminate Education,Software Producer,RRR,Posturing,"Illuminate made limited public statements, and kept most information hidden, including court documents.",Active,36
Compensating-Illuminate Education-Software Producer,Illuminate Education,Software Producer,RRR,Compensating,"No compensation seems to have been offered or compelled to affected users. However, they were fined by regulators for $5.1m.",Neither Unfavorable Nor Favorable,37
Correcting-Illuminate Education-Software Producer,Illuminate Education,Software Producer,RRR,Correcting,Software was taken offline for about 10 days before it was restored. Internal changes must have been made to prevent such an attack from happening again.,Somewhat Passive,38
Complying-Illuminate Education-Software Producer,Illuminate Education,Software Producer,RRR,Complying,"They would have adhered to agreement terms, such as NYCDOE's ability to terminate the contract. They may not have reported the incident in a timely manner. They settled with FTC and state regulators in 2025.",Neither Low Nor High,39
Posturing-Illuminate Education-Regulator,Illuminate Education,Regulator,RRR,Posturing,"Local regulators were outspoken about the event, national (such as FTC) made loose statements. Industry regulatory bodies also made statements. State AGs formed a new Consortium of Privacy Regulators and immediately soon took action against the company.",Somewhat Active,40
Compensating-Illuminate Education-Regulator,Illuminate Education,Regulator,RRR,Compensating,"No compensation was mandated for users, however state regulators received fines paid by the company in 2025.",Neither Passive Nor Active,41
Correcting/Enforcing-Illuminate Education-Regulator,Illuminate Education,Regulator,RRR,Correcting/Enforcing,"Regulators canceled agreements, and one industry regulator removed them from their program. FTC filed a complaint and consent order 4 years later. State regulators levied fines in 2025 as well.",Active,42
Complying-Illuminate Education-Regulator,Illuminate Education,Regulator,RRR,Complying,"Regulators followed regime in place, canceling agreements, but taking little further action. Illuminate was not governed as strictly as the education bodies it served.",Somewhat Active,43
Costs-Illuminate Education-User,Illuminate Education,User,Outcomes,Costs,"Users needed new software solutions when software went down, and if contracts were ended. Replacement software may have introduced new risks, especially free alternatives. Affected users are at risk of future harms like identity theft. Users also hired lawers out-of-pocket for lawsuits, but failed to get compensation.",Unfavorable,44
Transformations-Illuminate Education-User,Illuminate Education,User,Outcomes,Transformations,New relationships with edtech advocates were formed. Districts may have implemented new procedures.,Neither Weak Nor Strong,45
Remedies-Illuminate Education-User,Illuminate Education,User,Outcomes,Remedies,No compensation was collected. New prevention efforts were developed.,Unfavorable,46
Preservation-Illuminate Education-User,Illuminate Education,User,Outcomes,Preservation,Some school districts preserved their agreements with Illuminate.,Neither Weak Nor Strong,47
Costs-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Outcomes,Costs,Estimated cost of the remediation is $22m. $5.1m in penalties to state regulators were settled in 2025,Unfavorable,48
Transformations-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Outcomes,Transformations,"Likely put new procedures in place, but no public information is available. They were later acquired by a new private equity firm.",No Data Available,49
Preservation-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Outcomes,Preservation,"Still in business, continued growth, and some customers continued with their service",Somewhat High,50
Remedies-Illuminate Education-Software Producer,Illuminate Education,Software Producer,Outcomes,Remedies,"Illuminate Education did not receive any known remedies for suffering from the breach, it is possible they received an insurance payout.",Neither Unfavorable Nor Favorable,318
