Name,Case,Stakeholder,Node,Net Effects,Description,Value,Scale,Inputs/Outputs,Notes,Unit ID,Table 3,Comparisons copy,Subgroup
Regulatory Environment-ICRC-User,ICRC,User,Context,Regulatory Environment,"Overarching regime protects beneficiaries to the utmost. However, national protections may be in conflict, and norms may not support use of software. Beneficiaries also have very little recourse to respond to security failures, or advocate for protections.",Somewhat Strong,Weak-Strong,,,55,,,
Threat Environment-ICRC-User,ICRC,User,Context,Threat Environment,"Threat surface varies widely by user-base, e.g. country and environment. Target value is variable, although users are highly vulnerable.",Risky,Risky-Stable,,,56,,,
Operational Environment-ICRC-User,ICRC,User,Context,Operational Environment,"Users rely on software for emergency situations, and use cases are heterogeneous, requiring customization. 
Hierarchy is medium power distance, users access software directly through Red Cross National Societies, but probably don't connect with developers at ICRC.",Challenging,Challenging-Simple,,,57,,,
Regulatory Environment-ICRC-Software Producer,ICRC,Software Producer,Context,Regulatory Environment,"Multiple regimes to adhere to, international and national for ICRC, plus national where software is deployed. Strict internal regulations stemming from history of the org. Complex technical challenges to deliver software. 

Failure to comply could mean they cannot deliver pre-emptively (blocked by national government), or could threaten users directly (e.g. if government wants access to data).",Strict,Lenient-Strict,,,58,"Comparison 1-,Comparison 6-",,
Threat Environment-ICRC-Software Producer,ICRC,Software Producer,Context,Threat Environment,"Highly variable threat surface, deployment is in different countries with different needs, different regimes, and different potential attackers.",Risky,Risky-Stable,,,59,Comparison 1-Antecedent,,
Operational Environment-ICRC-Software Producer,ICRC,Software Producer,Context,Operational Environment,Mission compliance over commercial viability. Must cooperate with on-site users (National Societies) for implementation.,Neither Challenging Nor Simple,Challenging-Simple,,,60,,,
Regulatory Environment-ICRC-Regulator,ICRC,Regulator,Context,Regulatory Environment,"Internal and international regimes provide strict guards on actions. In-country requirements also force compliance activities pre-emptively, but are not likely to be safeguards for users. Emergent regime may conflict between those regimes.",Strict,Lenient-Strict,,,61,"Comparison 1-Antecedent,Comparison 6-",,
Threat Environment-ICRC-Regulator,ICRC,Regulator,Context,Threat Environment,Governing bodies are unlikely to be more familiar with threats than producer. Governments may also be threat actors.,Neither Unfamiliar Nor Familiar,Unfamiliar-Familiar,,,62,,,
Operational Environment-ICRC-Regulator,ICRC,Regulator,Context,Operational Environment,"Enforcement methods are limited, international regimes can only so much. Country regimes have political interests in ICRC operating in their country, driving much of their regulations.",Somewhat Weak,Weak-Strong,,,63,Finding 2-Antecedent,,
Deploying-ICRC-User,ICRC,User,Operating,Deploying,"Users include the National Society staff that deploy the software on site, and beneficiaries who use the features. NS staff are trained, and can request limited support and updates. Beneficiaries get value from the software, since it can be the only way to get in touch with separated family, but they may increase risk by using it.",Neither Passive Nor Active,Passive-Active,,,64,,,
Securing-ICRC-User,ICRC,User,Operating,Securing,"National Society staff that implement the software in the field take precautions to safeguard the data of the end-user beneficiaries. They also have heterogeneous familiarity with cyber hygiene.The beneficiaries may also try to protect themselves, but using the software opens them up to privacy harms. ",Neither Passive Nor Active,Passive-Active,,,65,,,
Influencing-ICRC-User,ICRC,User,Operating,Influencing,"All users have very few options to influence the data privacy and security laws of their host country or the internal regulations of the software producer, and do not take organized action to do so.",Passive,Passive-Active,,,66,,,
Complying-ICRC-User,ICRC,User,Operating,Complying,"ICRC staff that deploy the software must comply with the overarching regime that governs the Movement, as well as that of the country where they operate, although those regimes may be complex and even in conflict. They also had to adhere to the supplemental guidance provided by the software producer.

End-users would need to follow rules brought to them by the deployment users.",Active,Passive-Active,,,67,,,
Implementing-ICRC-Software Producer,ICRC,Software Producer,Operating,Implementing,"ICRC implemented case management software to help beneficiaries in disaster and conflict situations. They provide the software to affiliated National Societies that implement it.

The software was proposed in 2009 and launched in 2012, and is based on 150 years of work in their Restoring Family Links program, which helps reconnect families separated in conflict and emergency situations.",Somewhat Active,Passive-Active,,,68,Comparison X-,,
Securing-ICRC-Software Producer,ICRC,Software Producer,Operating,Securing,"The ICRC team followed best practices to protect their users, including both technical practices, and support for implementation users (National Societies).",Active,Passive-Active,,,69,Comparison X-,,
